"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2021","325.46","325.46","327.38","324.45","135.33K","0.00%"
"08/05/2021","325.46","320.02","325.51","318.93","134.09K","1.70%"
"08/04/2021","320.02","319.14","326.59","318.21","119.08K","0.28%"
"08/03/2021","319.13","314.94","319.13","314.17","113.02K","1.33%"
"08/02/2021","314.93","314.86","317.70","314.06","102.57K","0.03%"
"07/30/2021","314.85","311.00","315.02","310.97","106.37K","1.25%"
"07/29/2021","310.97","306.36","311.25","306.04","87.61K","1.54%"
"07/28/2021","306.25","306.00","307.27","298.93","62.29K","0.08%"
"07/27/2021","306.00","302.76","307.68","296.17","90.26K","1.03%"
"07/26/2021","302.88","299.81","303.21","298.75","71.58K","0.37%"
"07/23/2021","301.77","305.97","306.47","301.77","86.90K","-1.37%"
"07/22/2021","305.97","300.82","306.69","300.03","87.18K","1.72%"
"07/21/2021","300.80","301.11","304.28","299.07","59.48K","-0.10%"
"07/20/2021","301.11","292.08","301.11","288.79","92.86K","3.10%"
"07/19/2021","292.06","307.74","307.74","291.84","115.98K","-5.10%"
"07/16/2021","307.76","306.30","311.57","306.30","94.96K","0.48%"
"07/15/2021","306.30","296.84","306.30","295.01","88.83K","3.19%"
"07/14/2021","296.84","295.97","299.85","292.11","88.49K","0.05%"
"07/13/2021","296.70","292.67","298.58","292.22","100.79K","1.27%"
"07/12/2021","292.98","306.73","307.94","288.27","183.25K","-4.48%"
"07/09/2021","306.73","315.98","317.36","306.54","119.80K","-2.93%"
"07/08/2021","315.98","319.80","321.48","315.82","94.60K","-1.20%"
"07/07/2021","319.83","318.51","324.98","312.46","145.94K","0.41%"
"07/06/2021","318.51","327.76","330.97","318.51","160.20K","-2.82%"
"07/05/2021","327.76","328.06","329.00","323.40","138.24K","-0.08%"
"07/02/2021","328.01","325.72","328.79","325.60","139.52K","0.70%"
"07/01/2021","325.72","323.32","326.55","321.63","151.07K","0.74%"
"06/30/2021","323.32","323.79","324.77","321.75","99.82K","-0.15%"
"06/29/2021","323.79","323.10","325.57","322.22","128.61K","0.21%"
"06/28/2021","323.10","318.22","323.30","318.04","127.96K","1.53%"
"06/25/2021","318.22","315.08","318.23","313.55","117.52K","1.00%"
"06/24/2021","315.08","315.81","317.38","313.67","89.49K","-0.23%"
"06/23/2021","315.80","317.09","318.71","314.89","122.03K","-0.41%"
"06/22/2021","317.09","316.24","322.84","316.24","139.00K","0.27%"
"06/21/2021","316.24","318.73","320.01","315.74","136.50K","-0.78%"
"06/18/2021","318.73","317.07","320.63","316.82","134.89K","0.52%"
"06/17/2021","317.07","313.64","317.18","309.50","146.32K","1.09%"
