"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2019","371.14","372.30","374.09","370.94","937.57M","-0.33%"
"01/28/2019","372.38","372.47","375.35","370.45","676.37M","0.26%"
"01/25/2019","371.40","369.23","372.49","368.94","440.03M","0.93%"
"01/24/2019","367.99","367.28","369.83","367.16","476.22M","0.65%"
"01/23/2019","365.60","362.10","366.61","361.86","476.11M","1.12%"
"01/22/2019","361.55","357.74","361.55","357.46","531.89M","1.16%"
"01/21/2019","357.41","361.92","363.61","356.93","404.15M","-0.06%"
"01/18/2019","357.62","357.22","358.97","356.77","561.92M","0.23%"
"01/17/2019","356.79","357.49","359.86","356.71","410.20M","-0.21%"
"01/16/2019","357.53","361.25","362.28","356.96","641.04M","-0.86%"
"01/15/2019","360.64","362.23","363.40","359.65","454.68M","-0.24%"
"01/14/2019","361.51","363.65","363.83","361.22","426.17M","-0.13%"
"01/11/2019","361.97","357.75","362.15","357.74","504.87M","1.44%"
"01/10/2019","356.82","358.86","360.64","355.74","341.75M","-0.58%"
"01/09/2019","358.89","361.17","362.82","358.64","474.19M","-0.41%"
"01/08/2019","360.38","359.90","360.66","358.98","452.91M","0.24%"
"01/07/2019","359.52","357.66","360.09","357.59","292.39M","0.67%"
"01/04/2019","357.11","355.42","357.26","353.42","303.40M","0.61%"
"01/03/2019","354.95","355.23","357.57","353.74","245.78M","0.01%"
"01/02/2019","354.90","355.46","357.14","354.05","171.66M","-0.43%"
"12/28/2018","356.44","356.12","357.05","353.47","331.46M","0.30%"
"12/27/2018","355.36","356.45","360.55","355.36","338.98M","0.41%"
"12/26/2018","353.91","354.28","356.51","352.93","408.62M","0.05%"
"12/25/2018","353.72","360.80","361.12","353.72","346.20M","-2.39%"
"12/24/2018","362.39","366.41","368.33","362.01","231.08M","-1.29%"
"12/21/2018","367.14","363.87","368.31","362.31","362.88M","0.66%"
"12/20/2018","364.72","369.30","369.45","363.62","385.44M","-1.32%"
"12/19/2018","369.59","370.16","371.73","369.49","302.72M","-0.14%"
"12/18/2018","370.10","375.34","377.18","366.78","353.56M","-1.67%"
"12/17/2018","376.40","384.12","385.19","374.51","357.54M","-2.04%"
"12/14/2018","384.24","390.11","391.10","384.24","314.79M","-1.59%"
"12/13/2018","390.44","394.19","397.06","389.94","305.10M","-0.71%"
"12/12/2018","393.24","395.30","397.36","393.24","3.81B","-0.32%"
"12/11/2018","394.52","397.06","399.80","393.98","3.28B","-0.75%"
"12/07/2018","397.49","396.50","400.83","396.26","387.16M","0.38%"
"12/06/2018","396.00","397.22","398.14","395.63","283.18M","-0.76%"
"12/04/2018","399.03","399.98","402.10","398.26","267.14M","-0.13%"
"12/03/2018","399.55","401.75","403.05","398.86","262.91M","-0.32%"
"11/30/2018","400.82","400.55","402.55","397.55","422.70M","0.09%"
"11/29/2018","400.46","403.27","405.00","400.20","510.45M","-0.42%"
"11/28/2018","402.13","400.64","403.48","400.35","348.17M","0.53%"
"11/27/2018","400.02","399.93","401.74","399.58","280.14M","0.07%"
