"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2018","903.20","899.41","903.57","891.97","130.37K","0.42%"
"08/09/2018","899.41","901.21","908.94","898.79","120.53K","-0.20%"
"08/08/2018","901.18","893.61","901.31","893.61","100.99K","0.85%"
"08/07/2018","893.59","898.41","898.86","892.14","95.81K","-0.54%"
"08/06/2018","898.42","899.69","902.09","895.20","114.04K","-0.14%"
"08/03/2018","899.68","896.33","906.89","896.33","119.94K","0.43%"
"08/02/2018","895.85","897.65","897.65","883.79","149.46K","-0.17%"
"08/01/2018","897.35","902.16","904.87","894.10","137.96K","-0.51%"
"07/31/2018","901.97","898.31","905.89","894.48","175.39K","0.41%"
"07/30/2018","898.32","886.59","898.75","886.59","135.46K","1.34%"
"07/27/2018","886.44","879.34","889.01","877.93","118.48K","0.81%"
"07/26/2018","879.35","875.49","879.60","868.93","130.25K","0.44%"
"07/25/2018","875.49","880.73","887.42","875.49","148.04K","-0.59%"
"07/24/2018","880.71","885.54","887.45","873.46","129.98K","-0.55%"
"07/23/2018","885.54","882.43","896.25","880.97","154.89K","0.39%"
"07/20/2018","882.06","892.07","892.57","880.36","132.47K","-1.14%"
"07/19/2018","892.24","887.49","896.05","886.20","125.96K","0.56%"
"07/18/2018","887.30","867.99","887.30","867.41","146.04K","2.23%"
"07/17/2018","867.98","855.85","867.98","847.34","102.79K","1.39%"
"07/16/2018","856.08","850.72","860.72","849.55","83.90K","0.63%"
"07/13/2018","850.70","837.05","852.92","837.05","93.51K","1.64%"
"07/12/2018","836.98","831.21","844.45","825.46","66.76K","0.37%"
"07/11/2018","833.88","845.21","845.21","825.03","108.70K","-1.78%"
"07/10/2018","848.98","850.39","856.42","848.98","67.89K","-0.18%"
"07/09/2018","850.49","857.49","867.15","848.89","78.02K","-0.80%"
